Event-Name,Event-Location,Event-Date,Event-Image,Event-Time,Event-Details
Pretty Much the Best Comedy Show – Jan. 26th,Proctors Theatre,"Jan 26, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11558
Word Plays: Starting Over,Proctors Theatre,"Jan 27, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11752
Diavolo,MainStage at Proctors,"Jan 30, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11394
Film: RAIDERS! The Story of Greatest Fan Film Ever Made,GE Theatre at Proctors,"Jan 31, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11891
National Geographic Live! Terry Virts,MainStage at Proctors,"Jan 31, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11365
Film: Exhibition on Screen: Young Picasso,GE Theatre at Proctors,"Feb 05, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11513
School of Rock,MainStage at Proctors,"Feb 05 - Feb 10, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11273
Mrs. Krishnan’s Party,GE Theatre at Proctors,"Feb 07 - Feb 09, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11601
I Have a Dream SD,MainStage at Proctors,"Feb 12, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11340
Film: Bolshoi Ballet: LA BAYADERE,GE Theatre at Proctors,"Feb 12, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11347
Salsa Dance Night,GE Theatre at Proctors,"Feb 14, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11798
Erth’s Prehistoric Aquarium SD,MainStage at Proctors,"Feb 15, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11341
Erth’s Prehistoric Aquarium Adventure,MainStage at Proctors,"Feb 15, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11431
Passport Series: Banda Magda,GE Theatre at Proctors,"Feb 15, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11428
Steve Martin and Martin Short,MainStage at Proctors,"Feb 17, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11767
Film: National Theatre: I’m Not Running,GE Theatre at Proctors,"Feb 19, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11463
Mardi Gras 2019,GE Theatre at Proctors,"Feb 20, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11836
The Lightning Thief,MainStage at Proctors,"Feb 22 - Feb 23, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11636
Pretty Much the Best Comedy Show – Feb. 23rd,Proctors Theatre,"Feb 23, 2019 ",https://tickets.proctors.org/TheatreManager/95/image?event=11559
